Abdon,Abdonie
Iwetta,Iwetto
Iwo,Iwo
Iwon,Iwono
Iwona,Iwono
Izaak,Izaaku
Izabela,Izabelo
Izolda,Izoldo
Izyda,Izydo
Izydor,Izydore
Jacek,Jacku
Jacenty,Jacenty
Jacław,Jacławie
Jaczewoj,Jaczewoju
Jadwiga,Jadwigo
Jagoda,Jagodo
Jakobina,Jakobino
Jakub,Jakubie
Jan Chryzostom,Janie Chryzostomie
Jan Gwalbert,Janie Gwalbercie
Jan Kanty,Janie Kanty
Jan Nepomucen,Janie Niepomucenie
Jan,Janie
Janina,Janino
Janisław,Janisławie
Januaria,Januario
January,January
Janusz,Januszu
Jarema,Jaremo
Jarmiła,Jarmiło
Jarogniew,Jarogniewie
Jaromir,Jaromirze
Jaropełk,Jaropełku
Jarosław,Jarosławie
Jarosława,Jarosławo
Jaśmina,Jaśmino
Jazon,Jazonie
Jeremi,Jeremi
Jeremiasz,Jeremiaszu
Jeron,Jeronie
Jerosława,Jerosławo
Jerzy,Jerzy
Jewdocha,Jewdocho
Jędrzej,Jędrzeju
Joachim,Joachimie
Joachima,Joachimo
Joanna,Joanno
Job,Jabie
Jolanta,Jolanto
Jonasz,Jonaszu
Jonatan,Jonatanie
Jordan,Jordanie
Jowita,Jowito
Jozafat,Jozafacie
JÃ³zef,JÃ³zefie
JÃ³zefa,JÃ³zefo
JÃ³zefat,JÃ³zefacie
JÃ³zefina,JÃ³zefino
Juda,Judo
Judyta,Judyto
Julia,Julio
Julian,Julianie
Julianna,Julianno
Julietta,Julietto
Julita,Julito
Juliusz,Juliuszu
Jurand,Jurandzie
Jurata,Jurato
Justyn,Justynie
Justyna,Justyno
Justynian,Justynianie
Kacper,Kacprze
Kaja,Kajo
Kajetan,Kajetanie
Kajus,Kajusie
Kalasanty,Kalasanty
Kalikst,Kaliksty
Kaliksta,Kaliksto
Kalina,Kalino
Kalistrat,Kalistarcie
Kallina,Kallino
Kamelia,Kamelio
Kamil,Kamilu
Kamila,Kamilo
Kandyd,Kandydzie
Kanizjusz,Kanizjuszu
Kanut,Kanucie
Karena,Kareno
Karina,Karino
Karol Boromeusz,Karolu Boromeuszu
Karol,Karolu
Karolin,Karolinie
Karolina,Karolino
Karp,Kaprie
Kasjan,Kasjanie
Kasjana,Kasjanno
Kasper,Kasprze
Kastor,Kastorze
Katarzyna,Katarzyno
Kazimiera,Kazimiero
Kazimierz,Kazimierzu
Kiejstut,Kiejstucie
Kilian,Kilianie
Kinga,Kingo
Kir,Kirze
Kira,Kiro
Kirył,Kirylu
Klara,Klaro
Klarysa,Klaryso
Klaudia,Klaudio
Klaudian,Klaudianie
Klaudiusz,Klaudiuszu
Klaudyna,Klaudyno
Klemencja,Klemencjo
Klemens,Klemensie
Klement,Klementynie
Klementyn,Klementynie
Klementyna,Klementyno
Kleofas,Kleofasie
Kleopatra,Kleopatro
Klet,Klecie
Klotylda,Klotyldo
Koleta,Koleto
Kolombina,Kolombio
Kondrat,Kondracie
Konrad,Konradzie
Konrada,Konrado
Konradyn,Konradynie
Konradyna,Konradyno
Konstancja,Konstancjo
Konstancjusz,Konstancjuszu
Konstans,Konstansie
Konstanty,Konstanty
Konstantyn,Konstantynie
Kordelia,Kordelio
Kordian,Kordianie
Kordula,Korulo
Kornel,Kornelu
Korneli,Korneli
Kornelia,Kornelio
Korneliusz,Korneliuszu
Kosma,Kosmo
Kryspin,Kryspinie
Kryspina,Kryspiono
Krystian,Krystianie
Krystiana,Krystianno
Krystyn,Krystynie
Krystyna,Krystyno
Krzesimir,Krzesimirze
Krzesisław,Krzesisławie
Krzesisława,Krzesisławo
Krzysztof,Krzysztofie
Krzywosąd,Krzywosądzie
Ksawera,Ksawero
Ksawery,Ksawery
Ksaweryna,Ksaweryno
Ksenia,Kseniu
Ksenofont,Ksenofoncie
Kunegunda,Kunegundo
Kwiatosława,Kwiatosławo
Kwiryn,Kwirynie
Kwiryna,Kwiryno
Lambert,Lambercie
Lamberta,Lamberto
Larysa,Laryso
Laura,Lauro
Laurencja,Laurencjo
Laurencjusz,Laurencjuszu
Laurenty,Lautenty
Laurentyn,Laurentynie
Laurentyna,Laurentyno
Laza,Lazo
Lea,Leo
Leander,Leandrze
Lech,Lechu
Lechosław,Lechosławie
Lechosława,Lechosławo
Lena,Leno
Lenart,Lenardzie
Leodegar,Leodegardzie
Leokadia,Leokadio
Leon,Leonie
Leona,Loeono
Leonard,Leonardzie
Leonarda,Leonardo
Leoncjusz,Leoncjuszu
Leonia,Loenio
Leonid,Leonidzie
Leonida,Leonido
Leonidas,Leonidasie
Leontyna,Leontyno
Leopard,Leopardzie
Leopold,Leopoldzie
Leopoldyna,Leopoldyno
Lesław,Lesławie
Lesława,Lesławo
Leszek,Leszku
Lew,Lwie
Lewin,Lewinie
Liberat,Liberacie
Liberata,Liberato
Libert,Libercie
Liboriusz,Liboriuszu
Lidia,Lidio
Ligia,Ligio
Lilian,Lilianie
Liliana,Liliano
Lilianna,Lilianno
Lilla,Lillo
Linda,Lindo
Liwia,Liwio
Liwiusz,Liwiuszu
Liza,Lizo
Loda,Lodo
Lolita,Lilito
Longin,Longinie
Longina,Longino
Longinus,Longinusie
Loretta,Loretto
Luba,Lubo
Lubogost,Lubogoście
Lubomierz,Lubomierzu
Lubomir,Lubomirze
Lubomira,Lubomiro
Lubomysł,Lubomyślu
Lubor,Luborze
Lubosław,Lubosławie
Lubosza,Luboszu
Lucja,Lucjo
Lucjan,Lucjanie
Lucjol,Lucjolu
Lucjola,Lucjolu
Lucjusz,Lucjuszu
Lucylla,Lucyllo
Lucyna,Lucyno
Ludgarda,Ludgardo
Ludmiła,Ludmiło
Ludomił,Ludomirze
Ludomiła,Ludomiło
Ludomir,Ludomirze
Ludomira,Ludomiro
